timestamp,amplitude
1774605291.571663,17
1774605291.5876434,18
1774605291.603538,18
1774605291.6196296,18
1774605291.6355681,19
1774605291.6515985,19
1774605291.6681151,19
1774605291.684174,21
1774605291.6997075,21
1774605291.7157047,22
1774605291.7317762,23
1774605291.747789,25
1774605291.7637901,25
1774605291.7798111,25
1774605291.795771,24
1774605291.8119986,23
1774605291.8280604,22
1774605291.8442328,20
1774605291.8598697,20
1774605291.8762271,21
1774605291.8922622,22
1774605291.9082806,31
1774605291.923742,42
1774605291.940271,51
1774605291.9558828,59
1774605291.9718733,66
1774605291.9878893,65
1774605292.0049005,64
1774605292.019611,59
1774605292.0356445,53
1774605292.0515532,43
1774605292.0674775,36
1774605292.0837836,28
1774605292.099631,25
1774605292.115713,28
1774605292.1314034,31
1774605292.1475143,36
1774605292.1636522,42
1774605292.179766,46
1774605292.1955109,46
1774605292.2114885,46
1774605292.2275054,42
1774605292.243506,39
1774605292.2595744,36
1774605292.275591,34
1774605292.2917066,32
1774605292.3075356,35
1774605292.3235712,38
1774605292.3395987,43
1774605292.3555665,49
1774605292.3716655,55
1774605292.3876534,57
